IP,Acuracia,TempoReacao,APM,TaxaErros,IPRepetido,JaFoiSuspeito,Inventario,AcoesBots,Classe
192.168.36.164,65,465,131,49,1,1,"Mapa, Elmo, Foco, Joia",0,Suspeito
192.168.47.89,57,305,104,44,0,1,"Lança, Colar, Foco, Adaga",0,Suspeito
192.168.229.121,57,225,107,18,1,0,"Arco, Cristal, Lança, Mapa",1,Suspeito
192.168.171.44,72,418,33,2,0,1,"Botas, Elmo, Cristal, Mapa",1,Suspeito
192.168.50.11,80,293,130,43,0,1,"Arco, Armadura, Adaga, Poção",1,Suspeito
192.168.44.72,54,435,125,46,1,0,"Espada, Armadura, Chave, Foco",0,Suspeito
192.168.46.23,97,333,61,41,1,1,"Anel, Colar, Joia, Mapa",1,Suspeito
192.168.31.118,88,346,115,6,0,0,"Anel, Lança, Espada, Cristal",0,Legítimo
192.168.53.93,79,434,55,50,1,0,"Cristal, Flecha, Adaga, Poção",0,Suspeito
192.168.129.177,92,315,34,13,1,0,"Joia, Armadura, Luvas, Poção",1,Suspeito
192.168.11.204,54,333,54,36,0,1,"Flecha, Lança, Tomo, Mapa",1,Suspeito
192.168.161.21,74,313,51,46,1,0,"Elmo, Arco, Adaga, Anel",0,Suspeito
192.168.223.235,82,310,70,12,1,0,"Arco, Tomo, Armadura, Foco",0,Legítimo
192.168.16.71,92,358,80,46,0,0,"Armadura, Botas, Tomo, Anel",0,Legítimo
192.168.206.191,89,443,91,15,1,0,"Botas, Poção, Mapa, Chave",0,Legítimo
192.168.48.54,64,308,87,49,1,0,"Tomo, Espada, Adaga, Botas",1,Suspeito
192.168.95.124,97,357,62,14,1,0,"Foco, Lança, Chave, Escudo",1,Suspeito
192.168.158.95,56,401,33,48,0,1,"Foco, Luvas, Colar, Armadura",0,Suspeito
192.168.118.191,94,281,103,2,0,0,"Armadura, Anel, Poção, Foco",0,Legítimo
192.168.10.65,99,283,77,36,1,1,"Joia, Espada, Poção, Foco",0,Suspeito
192.168.182.229,59,480,66,27,0,1,"Anel, Lança, Arco, Poção",1,Suspeito
192.168.131.136,86,417,134,24,0,0,"Lança, Mapa, Espada, Cristal",0,Legítimo
192.168.28.115,52,373,120,11,0,0,"Tomo, Colar, Anel, Mapa",1,Suspeito
192.168.136.62,70,394,133,35,0,1,"Espada, Flecha, Martelo, Joia",0,Suspeito
192.168.69.97,76,208,89,9,1,0,"Lança, Botas, Espada, Armadura",1,Suspeito
192.168.6.83,79,386,45,28,0,0,"Anel, Lança, Botas, Joia",1,Suspeito
192.168.54.84,97,353,114,12,1,0,"Colar, Foco, Luvas, Flecha",1,Suspeito
192.168.31.228,84,364,54,48,0,1,"Joia, Tomo, Lança, Mapa",1,Suspeito
192.168.152.174,74,308,83,1,1,1,"Mapa, Chave, Joia, Poção",1,Suspeito
192.168.202.128,91,224,37,10,0,1,"Adaga, Luvas, Elmo, Colar",1,Suspeito
192.168.23.137,98,258,129,12,1,1,"Chave, Tomo, Joia, Flecha",0,Suspeito
192.168.150.191,51,486,45,21,1,0,"Colar, Botas, Elmo, Poção",0,Suspeito
192.168.111.33,100,323,139,11,0,0,"Joia, Luvas, Colar, Adaga",0,Legítimo
192.168.73.93,54,340,134,25,1,0,"Flecha, Armadura, Lança, Mapa",1,Suspeito
192.168.165.146,91,215,86,44,0,0,"Espada, Lança, Joia, Mapa",1,Legítimo
192.168.91.252,64,211,120,36,1,0,"Adaga, Lança, Martelo, Espada",0,Suspeito
192.168.155.61,56,415,104,29,1,0,"Flecha, Joia, Espada, Adaga",1,Suspeito
192.168.26.39,72,361,127,4,1,0,"Escudo, Elmo, Foco, Colar",1,Suspeito
192.168.63.41,82,353,82,35,1,0,"Luvas, Joia, Cristal, Mapa",1,Suspeito
192.168.48.73,69,273,125,8,0,0,"Botas, Cristal, Foco, Anel",1,Suspeito
192.168.45.229,52,424,85,40,0,1,"Mapa, Cristal, Colar, Tomo",1,Suspeito
192.168.21.134,80,250,143,12,0,1,"Arco, Cristal, Foco, Adaga",0,Legítimo
192.168.105.251,96,257,88,21,1,1,"Tomo, Lança, Espada, Escudo",0,Suspeito
192.168.29.102,69,338,85,17,1,0,"Escudo, Martelo, Colar, Joia",1,Suspeito
192.168.248.221,61,286,124,43,0,0,"Colar, Joia, Elmo, Escudo",0,Suspeito
192.168.209.66,72,274,129,6,1,0,"Escudo, Mapa, Tomo, Luvas",0,Suspeito
192.168.44.171,52,394,97,28,0,0,"Armadura, Martelo, Joia, Escudo",1,Suspeito
192.168.237.142,91,395,51,7,0,0,"Chave, Elmo, Espada, Cristal",1,Legítimo
192.168.146.72,92,448,86,35,1,1,"Armadura, Tomo, Cristal, Adaga",1,Suspeito
192.168.197.48,79,325,147,46,0,1,"Chave, Luvas, Elmo, Cristal",0,Suspeito
192.168.83.109,68,221,121,22,1,0,"Luvas, Espada, Mapa, Adaga",1,Suspeito
192.168.130.62,90,282,128,24,0,0,"Joia, Mapa, Anel, Foco",0,Legítimo
192.168.30.156,78,494,33,47,1,0,"Anel, Foco, Mapa, Tomo",0,Suspeito
192.168.74.149,92,379,86,26,0,0,"Poção, Luvas, Joia, Botas",1,Suspeito
192.168.40.123,82,413,108,24,0,0,"Chave, Colar, Armadura, Joia",0,Legítimo
192.168.136.14,90,202,130,29,1,0,"Colar, Adaga, Botas, Cristal",0,Suspeito
192.168.86.35,80,355,35,35,1,0,"Chave, Elmo, Poção, Flecha",1,Suspeito
192.168.17.253,71,211,133,5,0,0,"Botas, Armadura, Foco, Espada",0,Legítimo
192.168.83.207,98,371,96,41,0,0,"Botas, Armadura, Adaga, Martelo",1,Suspeito
192.168.65.174,77,477,53,22,1,0,"Elmo, Joia, Arco, Luvas",1,Suspeito
192.168.194.152,80,491,68,3,0,0,"Lança, Botas, Chave, Poção",1,Legítimo
192.168.121.106,61,362,64,40,1,1,"Adaga, Anel, Espada, Martelo",0,Suspeito
192.168.89.238,81,337,94,19,1,0,"Martelo, Cristal, Mapa, Escudo",1,Suspeito
192.168.212.247,79,484,36,5,0,1,"Armadura, Anel, Lança, Tomo",0,Suspeito
192.168.32.187,59,402,49,32,0,1,"Anel, Espada, Cristal, Chave",1,Suspeito
192.168.240.47,53,219,128,44,1,1,"Botas, Luvas, Poção, Arco",0,Suspeito
192.168.17.189,80,340,46,45,0,1,"Flecha, Anel, Mapa, Lança",0,Suspeito
192.168.147.215,88,272,58,48,1,1,"Arco, Elmo, Armadura, Botas",1,Suspeito
192.168.36.203,76,341,84,44,0,1,"Anel, Martelo, Botas, Flecha",0,Suspeito
192.168.52.42,61,337,92,0,1,0,"Escudo, Espada, Flecha, Foco",0,Suspeito
192.168.42.208,83,375,122,19,0,0,"Armadura, Colar, Cristal, Botas",0,Legítimo
192.168.170.134,54,307,84,41,1,1,"Joia, Elmo, Chave, Armadura",1,Suspeito
192.168.92.224,72,249,125,18,0,1,"Anel, Martelo, Escudo, Mapa",0,Suspeito
192.168.101.209,58,351,104,30,0,1,"Poção, Armadura, Elmo, Escudo",0,Suspeito
192.168.112.97,59,449,43,30,1,1,"Arco, Espada, Elmo, Colar",0,Suspeito
192.168.118.77,60,399,48,18,0,1,"Armadura, Poção, Luvas, Mapa",1,Suspeito
192.168.191.129,69,301,82,46,0,1,"Flecha, Elmo, Joia, Arco",1,Suspeito
192.168.60.230,52,481,78,25,0,1,"Botas, Flecha, Mapa, Joia",0,Suspeito
192.168.98.139,70,474,119,23,0,1,"Mapa, Elmo, Martelo, Flecha",0,Suspeito
192.168.232.160,76,263,100,50,1,1,"Joia, Foco, Martelo, Luvas",0,Suspeito
192.168.30.240,74,211,76,25,1,1,"Arco, Anel, Luvas, Armadura",0,Suspeito
192.168.161.86,69,423,50,9,0,1,"Martelo, Espada, Colar, Chave",0,Suspeito
192.168.36.203,92,449,57,26,1,1,"Foco, Tomo, Adaga, Flecha",0,Suspeito
192.168.159.137,57,491,99,41,1,0,"Foco, Luvas, Cristal, Lança",1,Suspeito
192.168.228.202,75,467,81,39,1,0,"Mapa, Espada, Arco, Luvas",1,Suspeito
192.168.39.80,53,380,92,40,0,1,"Joia, Tomo, Martelo, Armadura",0,Suspeito
192.168.64.190,53,359,50,36,1,1,"Colar, Foco, Botas, Flecha",1,Suspeito
192.168.9.146,79,208,110,12,1,0,"Lança, Botas, Colar, Arco",1,Suspeito
192.168.195.224,78,274,133,43,0,0,"Armadura, Mapa, Espada, Anel",1,Suspeito
192.168.88.210,94,338,61,45,0,1,"Adaga, Colar, Elmo, Arco",1,Suspeito
192.168.29.216,78,389,89,9,0,1,"Lança, Botas, Escudo, Arco",0,Suspeito
192.168.33.102,98,367,148,6,1,1,"Foco, Arco, Botas, Martelo",0,Suspeito
192.168.204.39,52,423,70,49,0,1,"Joia, Colar, Botas, Espada",1,Suspeito
192.168.59.185,54,284,102,44,1,0,"Joia, Anel, Mapa, Lança",0,Suspeito
192.168.184.164,52,370,40,45,0,0,"Tomo, Escudo, Foco, Elmo",0,Legítimo
192.168.177.139,59,226,103,45,1,0,"Martelo, Poção, Lança, Arco",0,Suspeito
192.168.65.89,77,324,40,27,1,1,"Armadura, Mapa, Foco, Cristal",0,Suspeito
192.168.47.232,82,425,146,32,1,0,"Escudo, Luvas, Anel, Mapa",1,Suspeito
192.168.149.103,52,408,116,27,1,1,"Mapa, Anel, Tomo, Arco",0,Suspeito
192.168.118.242,98,498,125,2,1,1,"Luvas, Escudo, Armadura, Arco",0,Suspeito
192.168.40.150,92,283,115,38,0,1,"Colar, Adaga, Tomo, Anel",0,Suspeito
192.168.130.156,65,349,101,25,1,1,"Escudo, Tomo, Colar, Chave",0,Suspeito
192.168.5.223,53,299,84,33,0,0,"Luvas, Colar, Tomo, Poção",1,Suspeito
192.168.238.145,58,332,133,25,1,1,"Arco, Escudo, Elmo, Anel",0,Suspeito
192.168.178.236,56,457,145,25,0,0,"Foco, Anel, Tomo, Luvas",1,Suspeito
192.168.181.39,56,405,90,8,1,0,"Flecha, Escudo, Adaga, Luvas",1,Suspeito
192.168.147.155,76,465,142,14,1,0,"Foco, Armadura, Mapa, Lança",1,Suspeito
192.168.109.188,62,261,100,8,0,0,"Tomo, Luvas, Espada, Escudo",0,Legítimo
192.168.239.237,68,462,95,9,0,1,"Espada, Martelo, Tomo, Poção",0,Suspeito
192.168.115.29,100,217,84,49,1,1,"Cristal, Elmo, Colar, Tomo",1,Suspeito
192.168.252.214,84,467,55,7,0,0,"Chave, Adaga, Elmo, Tomo",1,Legítimo
192.168.32.235,98,299,30,13,0,0,"Arco, Elmo, Foco, Luvas",0,Legítimo
192.168.222.133,57,294,59,30,0,1,"Tomo, Cristal, Martelo, Escudo",0,Suspeito
192.168.151.102,69,354,91,31,1,1,"Lança, Adaga, Martelo, Botas",0,Suspeito
192.168.14.86,78,483,75,7,1,0,"Arco, Poção, Martelo, Foco",1,Suspeito
192.168.205.2,53,214,84,40,1,1,"Flecha, Mapa, Adaga, Anel",0,Suspeito
192.168.86.102,50,306,148,40,1,1,"Tomo, Lança, Poção, Colar",1,Suspeito
192.168.138.235,84,457,72,12,0,1,"Luvas, Poção, Elmo, Anel",1,Suspeito
192.168.89.89,82,319,84,14,1,0,"Tomo, Flecha, Adaga, Luvas",1,Suspeito
192.168.189.116,70,259,46,47,0,1,"Anel, Mapa, Chave, Foco",1,Suspeito
192.168.58.116,74,327,35,42,0,1,"Foco, Escudo, Espada, Armadura",0,Suspeito
192.168.36.45,71,316,123,35,0,1,"Cristal, Luvas, Anel, Poção",1,Suspeito
192.168.128.107,51,475,99,4,1,1,"Arco, Mapa, Chave, Luvas",1,Suspeito
192.168.234.93,67,429,122,21,1,1,"Tomo, Luvas, Arco, Martelo",1,Suspeito
192.168.149.162,59,352,48,28,0,0,"Tomo, Botas, Espada, Mapa",0,Legítimo
192.168.4.170,55,497,99,9,1,1,"Mapa, Flecha, Luvas, Chave",1,Suspeito
192.168.46.246,98,340,60,22,0,1,"Escudo, Adaga, Anel, Armadura",0,Suspeito
192.168.38.106,80,217,57,30,0,1,"Mapa, Martelo, Escudo, Joia",0,Legítimo
192.168.22.255,87,278,31,16,0,0,"Espada, Martelo, Cristal, Arco",1,Suspeito
192.168.129.152,66,331,45,39,1,0,"Cristal, Tomo, Flecha, Botas",1,Suspeito
192.168.18.192,70,247,67,42,1,1,"Tomo, Anel, Armadura, Botas",1,Suspeito
192.168.54.230,62,485,44,16,0,1,"Foco, Anel, Martelo, Joia",0,Suspeito
192.168.53.49,54,430,149,42,1,0,"Escudo, Botas, Elmo, Poção",1,Suspeito
192.168.10.121,59,280,67,5,0,1,"Adaga, Espada, Martelo, Escudo",0,Legítimo
192.168.145.17,90,377,45,42,1,0,"Espada, Chave, Mapa, Arco",1,Suspeito
192.168.198.116,84,417,54,7,1,1,"Botas, Elmo, Anel, Martelo",0,Suspeito
192.168.134.113,77,483,101,4,0,1,"Elmo, Tomo, Poção, Espada",1,Suspeito
192.168.103.143,74,465,37,32,1,0,"Chave, Cristal, Anel, Martelo",1,Suspeito
192.168.40.47,97,355,134,24,1,1,"Adaga, Anel, Martelo, Lança",0,Suspeito
192.168.220.242,53,433,146,46,0,1,"Botas, Tomo, Cristal, Armadura",0,Suspeito
192.168.96.70,64,369,59,18,1,0,"Anel, Martelo, Adaga, Lança",1,Suspeito
192.168.165.105,67,366,84,14,0,1,"Joia, Tomo, Mapa, Cristal",1,Suspeito
192.168.7.40,89,234,32,25,0,0,"Foco, Cristal, Joia, Poção",1,Suspeito
192.168.183.169,100,237,107,23,0,1,"Escudo, Luvas, Joia, Martelo",1,Suspeito
192.168.7.57,62,359,80,17,0,0,"Flecha, Adaga, Luvas, Elmo",0,Legítimo
192.168.59.172,94,280,62,35,1,0,"Colar, Lança, Mapa, Flecha",0,Legítimo
192.168.6.27,92,206,55,38,1,0,"Armadura, Martelo, Lança, Escudo",0,Legítimo
192.168.204.46,61,417,109,43,1,0,"Chave, Armadura, Foco, Joia",0,Suspeito
192.168.167.61,70,209,80,49,0,1,"Espada, Lança, Cristal, Anel",1,Suspeito
192.168.26.63,70,379,51,13,0,0,"Martelo, Adaga, Elmo, Botas",0,Legítimo
192.168.185.219,99,362,113,36,0,0,"Escudo, Luvas, Flecha, Espada",1,Suspeito
192.168.212.102,59,491,98,20,1,1,"Luvas, Botas, Martelo, Escudo",1,Suspeito
192.168.171.53,90,345,133,34,1,0,"Joia, Luvas, Poção, Anel",1,Suspeito
192.168.75.229,67,219,44,24,1,1,"Adaga, Escudo, Botas, Tomo",1,Suspeito
192.168.4.22,87,366,125,50,0,1,"Colar, Arco, Chave, Elmo",0,Suspeito
192.168.54.7,71,453,111,37,1,1,"Lança, Escudo, Anel, Botas",1,Suspeito
192.168.47.149,79,500,43,48,1,0,"Flecha, Colar, Luvas, Espada",0,Suspeito
192.168.108.228,92,329,114,42,0,0,"Cristal, Adaga, Arco, Mapa",0,Legítimo
192.168.209.88,91,296,83,46,1,1,"Joia, Elmo, Adaga, Lança",1,Suspeito
192.168.67.97,94,472,144,41,0,0,"Chave, Joia, Armadura, Tomo",0,Legítimo
192.168.151.69,53,257,47,23,0,0,"Adaga, Martelo, Mapa, Anel",1,Suspeito
192.168.160.105,85,385,107,12,0,0,"Adaga, Cristal, Flecha, Elmo",1,Suspeito
192.168.141.112,57,322,76,18,0,0,"Lança, Cristal, Colar, Flecha",1,Suspeito
192.168.76.242,71,212,145,1,0,1,"Botas, Lança, Elmo, Poção",0,Suspeito
192.168.195.36,77,304,69,26,0,1,"Botas, Martelo, Poção, Chave",1,Suspeito
192.168.222.125,70,279,146,25,0,1,"Foco, Botas, Tomo, Colar",0,Suspeito
192.168.229.204,76,406,139,26,1,1,"Colar, Espada, Poção, Escudo",1,Suspeito
192.168.109.6,100,485,62,49,1,0,"Espada, Elmo, Martelo, Flecha",0,Suspeito
192.168.69.139,56,280,127,46,1,0,"Escudo, Botas, Flecha, Tomo",1,Suspeito
192.168.162.66,84,444,150,8,0,1,"Espada, Mapa, Joia, Cristal",0,Suspeito
192.168.36.213,70,216,60,18,0,0,"Colar, Joia, Arco, Mapa",0,Legítimo
192.168.252.135,56,361,82,21,0,0,"Chave, Tomo, Armadura, Adaga",0,Legítimo
192.168.44.70,58,221,92,18,0,1,"Tomo, Luvas, Cristal, Escudo",0,Suspeito
192.168.5.234,98,481,65,40,1,1,"Martelo, Anel, Flecha, Poção",1,Suspeito
192.168.31.148,94,430,31,26,1,0,"Poção, Armadura, Anel, Escudo",0,Suspeito
192.168.70.142,96,398,56,29,1,1,"Lança, Colar, Tomo, Poção",0,Suspeito
192.168.167.212,100,447,64,43,1,1,"Cristal, Botas, Joia, Foco",1,Suspeito
192.168.53.3,60,394,83,41,0,0,"Luvas, Mapa, Poção, Espada",0,Legítimo
192.168.35.230,68,491,50,6,0,1,"Tomo, Escudo, Poção, Cristal",0,Suspeito
192.168.223.153,84,414,135,36,1,0,"Elmo, Luvas, Mapa, Foco",1,Suspeito
192.168.154.170,74,478,115,22,0,1,"Flecha, Poção, Lança, Escudo",0,Suspeito
192.168.45.234,71,355,40,15,0,1,"Escudo, Anel, Elmo, Cristal",0,Suspeito
192.168.107.98,68,235,108,2,0,1,"Joia, Colar, Adaga, Escudo",0,Suspeito
192.168.133.12,80,358,109,24,0,0,"Colar, Armadura, Escudo, Foco",0,Legítimo
192.168.43.189,79,238,145,18,0,0,"Armadura, Flecha, Chave, Joia",1,Suspeito
192.168.22.154,58,378,30,12,1,0,"Armadura, Foco, Botas, Cristal",0,Suspeito
192.168.63.100,74,345,59,35,1,1,"Escudo, Luvas, Joia, Flecha",1,Suspeito
192.168.74.91,78,387,142,39,0,0,"Lança, Foco, Flecha, Cristal",0,Suspeito
192.168.184.76,79,203,142,12,0,0,"Flecha, Colar, Lança, Foco",0,Legítimo
192.168.145.122,60,258,117,2,1,0,"Colar, Chave, Armadura, Poção",0,Suspeito
192.168.170.239,87,347,122,43,0,0,"Escudo, Botas, Joia, Tomo",1,Suspeito
192.168.187.55,51,486,41,0,0,0,"Anel, Botas, Elmo, Poção",1,Suspeito
192.168.8.67,68,315,92,47,0,1,"Adaga, Anel, Foco, Mapa",1,Suspeito
192.168.152.14,89,327,58,32,0,0,"Cristal, Luvas, Poção, Mapa",1,Suspeito
192.168.127.153,78,415,51,16,1,0,"Chave, Mapa, Martelo, Anel",0,Suspeito
192.168.86.197,63,381,128,12,1,1,"Botas, Arco, Cristal, Chave",0,Suspeito
192.168.28.20,85,289,46,0,0,1,"Arco, Escudo, Tomo, Flecha",0,Legítimo
192.168.186.127,78,323,86,12,0,0,"Cristal, Tomo, Elmo, Lança",0,Legítimo
192.168.176.111,90,265,143,7,0,0,"Botas, Mapa, Tomo, Colar",0,Legítimo
192.168.63.209,87,490,52,31,0,1,"Espada, Flecha, Escudo, Martelo",0,Suspeito
192.168.204.178,81,239,148,8,1,0,"Joia, Anel, Chave, Elmo",0,Legítimo
192.168.70.151,74,311,150,26,1,1,"Armadura, Joia, Martelo, Tomo",0,Suspeito
192.168.93.24,56,207,97,30,1,0,"Flecha, Lança, Botas, Cristal",0,Suspeito
192.168.234.35,63,266,50,15,1,0,"Escudo, Adaga, Mapa, Colar",0,Legítimo
192.168.243.114,71,434,68,1,1,0,"Espada, Elmo, Martelo, Poção",1,Suspeito
192.168.48.139,80,260,81,1,1,1,"Colar, Arco, Armadura, Luvas",0,Suspeito
192.168.223.187,76,224,67,1,0,1,"Adaga, Colar, Joia, Escudo",1,Suspeito
192.168.206.168,64,342,63,37,0,0,"Colar, Flecha, Martelo, Espada",1,Suspeito
192.168.177.217,50,203,147,16,1,1,"Poção, Armadura, Lança, Chave",0,Suspeito
192.168.64.125,75,225,48,40,0,0,"Colar, Lança, Botas, Flecha",0,Legítimo
192.168.57.252,64,443,118,22,1,0,"Armadura, Foco, Elmo, Luvas",0,Suspeito
192.168.241.11,87,432,30,23,1,1,"Botas, Martelo, Poção, Espada",1,Suspeito
192.168.180.236,51,475,102,26,1,0,"Flecha, Poção, Colar, Escudo",0,Suspeito
192.168.47.145,79,457,140,36,0,1,"Colar, Martelo, Escudo, Tomo",0,Suspeito
192.168.234.9,98,405,64,13,1,1,"Luvas, Flecha, Mapa, Espada",0,Suspeito
192.168.178.76,58,215,52,6,0,1,"Flecha, Colar, Cristal, Foco",1,Suspeito
192.168.236.248,74,435,108,28,1,1,"Escudo, Mapa, Elmo, Arco",0,Suspeito
192.168.241.121,54,454,116,16,0,0,"Botas, Joia, Espada, Tomo",1,Suspeito
192.168.220.216,81,440,113,22,1,0,"Luvas, Anel, Tomo, Mapa",0,Suspeito
192.168.82.212,78,353,68,32,1,0,"Flecha, Poção, Mapa, Luvas",1,Suspeito
192.168.10.153,70,270,60,25,0,0,"Anel, Botas, Tomo, Joia",1,Suspeito
192.168.59.31,76,454,145,31,0,0,"Lança, Anel, Elmo, Botas",0,Suspeito
192.168.20.178,95,418,141,27,1,0,"Anel, Luvas, Martelo, Poção",1,Suspeito
192.168.87.185,60,495,85,37,0,1,"Adaga, Tomo, Colar, Anel",1,Suspeito
192.168.17.81,51,246,132,36,1,0,"Arco, Martelo, Colar, Lança",0,Suspeito
192.168.138.202,93,267,84,27,0,1,"Tomo, Adaga, Flecha, Foco",0,Legítimo
192.168.82.160,79,263,81,34,1,1,"Escudo, Adaga, Arco, Foco",1,Suspeito
192.168.226.158,95,438,48,44,1,1,"Botas, Adaga, Cristal, Joia",1,Suspeito
192.168.60.7,80,256,81,22,0,0,"Colar, Martelo, Luvas, Adaga",1,Legítimo
192.168.222.6,91,220,95,21,0,0,"Anel, Luvas, Joia, Arco",1,Legítimo
192.168.224.135,71,500,32,38,1,0,"Lança, Escudo, Elmo, Flecha",1,Suspeito
192.168.240.204,88,207,83,29,0,0,"Cristal, Poção, Chave, Colar",0,Legítimo
192.168.255.90,96,451,124,3,0,0,"Tomo, Anel, Mapa, Colar",1,Suspeito
192.168.196.103,79,309,112,45,1,1,"Adaga, Tomo, Botas, Foco",0,Suspeito
192.168.123.161,59,453,106,1,0,0,"Armadura, Anel, Escudo, Foco",1,Suspeito
192.168.223.251,63,366,140,38,0,1,"Tomo, Lança, Joia, Adaga",1,Suspeito
192.168.196.107,60,471,32,38,1,1,"Cristal, Arco, Foco, Escudo",1,Suspeito
192.168.108.189,62,478,97,48,0,0,"Elmo, Cristal, Foco, Espada",0,Legítimo
192.168.61.29,65,202,125,2,0,0,"Mapa, Elmo, Escudo, Joia",0,Legítimo
192.168.91.74,78,222,95,30,0,1,"Elmo, Arco, Tomo, Foco",0,Suspeito
192.168.76.60,79,275,69,21,1,0,"Mapa, Arco, Anel, Luvas",1,Suspeito
192.168.11.5,71,401,46,16,1,1,"Tomo, Luvas, Mapa, Arco",1,Suspeito
192.168.252.110,81,467,137,4,1,0,"Adaga, Mapa, Escudo, Espada",0,Suspeito
192.168.99.174,54,338,86,28,0,1,"Flecha, Cristal, Foco, Arco",1,Suspeito
192.168.56.243,54,382,136,24,0,0,"Adaga, Luvas, Flecha, Elmo",1,Suspeito
192.168.201.23,58,256,100,5,0,0,"Cristal, Joia, Foco, Tomo",0,Legítimo
192.168.107.225,76,442,111,31,0,1,"Martelo, Elmo, Anel, Tomo",0,Suspeito
192.168.241.120,60,491,127,37,1,0,"Adaga, Mapa, Joia, Escudo",1,Suspeito
192.168.157.43,64,280,109,39,0,0,"Espada, Poção, Armadura, Lança",1,Suspeito
192.168.253.60,70,348,78,46,0,0,"Joia, Espada, Elmo, Arco",1,Suspeito
192.168.241.166,91,225,92,20,0,0,"Lança, Cristal, Mapa, Joia",1,Legítimo
192.168.155.131,50,368,127,48,1,1,"Adaga, Flecha, Arco, Joia",1,Suspeito
192.168.59.46,83,351,75,44,1,1,"Colar, Espada, Lança, Botas",0,Suspeito
192.168.57.48,84,243,76,15,1,1,"Cristal, Foco, Armadura, Tomo",0,Suspeito
192.168.199.90,90,333,41,8,1,1,"Botas, Poção, Colar, Mapa",0,Suspeito
192.168.15.248,97,300,140,22,0,0,"Escudo, Martelo, Anel, Poção",0,Legítimo
192.168.226.237,51,357,41,20,0,0,"Joia, Elmo, Colar, Luvas",0,Legítimo
192.168.254.45,57,376,108,29,0,1,"Luvas, Arco, Lança, Espada",0,Suspeito
192.168.102.194,95,202,79,29,1,1,"Flecha, Armadura, Colar, Lança",1,Suspeito
192.168.178.40,73,429,79,38,1,0,"Chave, Anel, Colar, Mapa",1,Suspeito
192.168.209.58,78,414,112,26,1,0,"Flecha, Mapa, Luvas, Tomo",0,Suspeito
192.168.58.137,83,310,38,5,1,0,"Tomo, Anel, Flecha, Escudo",1,Suspeito
192.168.152.148,84,215,101,43,1,1,"Botas, Lança, Tomo, Elmo",1,Suspeito
192.168.24.224,97,427,123,15,1,1,"Mapa, Colar, Elmo, Espada",1,Suspeito
192.168.68.34,100,487,130,49,1,0,"Poção, Mapa, Chave, Elmo",1,Suspeito
192.168.227.244,86,272,50,6,1,1,"Elmo, Chave, Mapa, Tomo",0,Suspeito
192.168.220.207,64,297,138,48,0,0,"Cristal, Flecha, Adaga, Arco",1,Suspeito
192.168.168.141,94,255,109,4,1,0,"Mapa, Martelo, Chave, Armadura",1,Suspeito
192.168.23.105,52,373,136,11,1,1,"Mapa, Armadura, Martelo, Botas",1,Suspeito
192.168.96.67,61,246,88,2,0,0,"Escudo, Lança, Botas, Anel",1,Legítimo
192.168.185.127,95,307,95,35,1,0,"Mapa, Foco, Adaga, Chave",1,Suspeito
192.168.21.57,63,409,141,43,1,1,"Escudo, Poção, Botas, Armadura",1,Suspeito
192.168.175.20,61,368,138,22,0,1,"Adaga, Armadura, Martelo, Tomo",1,Suspeito
192.168.218.127,57,316,84,47,1,1,"Luvas, Lança, Colar, Flecha",1,Suspeito
192.168.123.152,93,326,63,30,0,0,"Elmo, Armadura, Chave, Espada",0,Legítimo
192.168.211.89,75,369,77,32,1,0,"Flecha, Joia, Luvas, Arco",0,Suspeito
192.168.173.145,84,201,76,43,1,1,"Flecha, Mapa, Lança, Foco",0,Suspeito
192.168.69.225,62,223,64,15,0,1,"Anel, Chave, Tomo, Joia",1,Suspeito
192.168.204.168,88,465,62,18,0,1,"Botas, Joia, Elmo, Poção",1,Suspeito
192.168.217.222,88,223,134,46,1,0,"Colar, Botas, Chave, Escudo",0,Suspeito
192.168.181.214,65,412,38,45,0,0,"Mapa, Elmo, Luvas, Espada",1,Suspeito
192.168.178.174,70,476,111,49,0,1,"Cristal, Tomo, Armadura, Arco",1,Suspeito
192.168.158.192,60,281,50,45,1,1,"Botas, Chave, Elmo, Flecha",1,Suspeito
192.168.41.225,99,311,71,6,0,0,"Elmo, Lança, Armadura, Espada",0,Legítimo
192.168.223.8,82,371,37,42,0,0,"Chave, Tomo, Poção, Mapa",1,Suspeito
192.168.211.33,97,465,62,20,1,0,"Cristal, Adaga, Armadura, Chave",1,Suspeito
192.168.86.190,65,483,122,50,1,0,"Flecha, Elmo, Poção, Cristal",1,Suspeito
192.168.41.209,89,422,137,24,1,0,"Luvas, Foco, Arco, Lança",1,Suspeito
192.168.213.130,89,226,56,28,1,0,"Chave, Armadura, Colar, Elmo",1,Suspeito
192.168.2.74,85,401,86,27,0,1,"Chave, Espada, Adaga, Mapa",0,Suspeito
192.168.158.251,99,323,86,16,0,0,"Foco, Elmo, Martelo, Escudo",1,Suspeito
192.168.162.67,70,341,135,3,0,1,"Joia, Botas, Armadura, Escudo",0,Suspeito
192.168.162.138,56,214,122,45,1,0,"Lança, Botas, Elmo, Joia",0,Suspeito
192.168.199.28,84,257,92,40,1,1,"Elmo, Luvas, Mapa, Colar",0,Suspeito
192.168.195.139,87,437,111,7,1,0,"Adaga, Chave, Martelo, Flecha",0,Suspeito
192.168.246.88,79,336,132,39,1,1,"Foco, Elmo, Lança, Mapa",0,Suspeito
