IP,Inventario,Precisao,TempoReacao,APM,TaxaHeadshots,JaFoiSuspeito,SusInv,Classe
192.168.202.230,"Submetralhadora, MedKit, Torreta, Lança-granadas",63,128,39,37,0,1,Suspeito
192.168.141.98,"Sniper, Espingarda, Drone, GranadaFumo",84,347,44,55,0,0,Legítimo
192.168.59.151,"GranadaInc, Espingarda, Submetralhadora, Lança-granadas",96,343,92,44,1,1,Suspeito
192.168.134.140,"MedKit, Drone, GranadaFumo, Submetralhadora",62,246,25,10,0,1,Legítimo
192.168.249.14,"Metralhadora, GranadaInc, Explosivo, Colete",96,206,117,37,0,0,Legítimo
192.168.61.13,"GranadaInc, Revólver, Lança-granadas, Espingarda",61,322,104,80,0,1,Suspeito
192.168.179.129,"Metralhadora, Silenciador, Espingarda, Capacete",99,55,104,45,0,0,Suspeito
192.168.238.38,"Submetralhadora, Lança-granadas, Mira, Capacete",55,308,33,31,0,1,Legítimo
192.168.151.67,"Metralhadora, Revólver, Espingarda, GranadaFrag",88,369,98,54,0,0,Legítimo
192.168.123.231,"Metralhadora, Mira, Silenciador, GranadaFrag",56,58,46,21,0,0,Legítimo
192.168.248.36,"Revólver, Metralhadora, Espingarda, Pistola",87,382,143,97,0,1,Suspeito
192.168.19.177,"Capacete, Drone, Mira, Submetralhadora",79,372,115,25,0,1,Legítimo
192.168.21.1,"Espingarda, GranadaFrag, Torreta, Drone",43,283,121,68,0,1,Legítimo
192.168.33.89,"Pistola, Metralhadora, GranadaFrag, GranadaInc",84,155,102,57,0,1,Suspeito
192.168.98.196,"Revólver, Submetralhadora, Explosivo, Drone",54,337,95,97,0,0,Legítimo
192.168.66.83,"Silenciador, Drone, Pistola, GranadaFumo",90,75,51,73,0,0,Suspeito
192.168.24.255,"Fuzil, MedKit, GranadaFrag, Lança-granadas",74,265,126,71,0,1,Suspeito
192.168.57.3,"GranadaFrag, Lança-granadas, Faca, Sniper",67,295,30,89,0,0,Legítimo
192.168.101.248,"Faca, Drone, Explosivo, Pistola",95,383,55,84,0,1,Suspeito
192.168.211.166,"Faca, Mira, Explosivo, Revólver",72,70,44,83,0,0,Legítimo
192.168.170.49,"Metralhadora, Explosivo, Espingarda, Sniper",83,54,40,61,0,1,Suspeito
192.168.181.41,"Lança-granadas, Capacete, Mira, GranadaFrag",63,171,129,6,0,0,Legítimo
192.168.245.198,"Mira, GranadaFumo, Colete, Metralhadora",70,90,51,20,0,1,Legítimo
192.168.247.82,"Pistola, Espingarda, Faca, Torreta",44,390,63,57,0,0,Legítimo
192.168.206.167,"Sniper, Drone, Faca, Explosivo",71,347,85,14,0,1,Legítimo
192.168.23.112,"Mira, Colete, GranadaInc, Silenciador",82,223,147,74,0,0,Suspeito
192.168.233.156,"Mira, Explosivo, Drone, Fuzil",63,145,122,78,0,0,Suspeito
192.168.205.220,"Capacete, Sniper, Silenciador, GranadaInc",83,233,34,38,0,0,Legítimo
192.168.24.55,"Pistola, Metralhadora, Revólver, Sniper",79,356,53,40,0,0,Legítimo
192.168.153.90,"GranadaInc, Espingarda, Lança-granadas, Explosivo",43,254,91,27,0,1,Legítimo
192.168.7.219,"Torreta, Colete, Sniper, MedKit",77,84,95,94,0,1,Suspeito
192.168.184.201,"Capacete, Metralhadora, Explosivo, Drone",98,98,68,17,0,0,Legítimo
192.168.64.5,"Torreta, Faca, Pistola, Metralhadora",70,237,20,97,0,1,Suspeito
192.168.185.210,"Fuzil, GranadaInc, Pistola, Explosivo",100,372,131,17,0,0,Legítimo
192.168.9.169,"Silenciador, Fuzil, Explosivo, Metralhadora",50,400,28,76,1,1,Suspeito
192.168.82.25,"GranadaInc, Drone, Fuzil, Silenciador",50,193,92,94,0,0,Legítimo
192.168.188.250,"Capacete, Espingarda, Lança-granadas, GranadaInc",48,59,76,25,0,0,Legítimo
192.168.191.211,"Revólver, Fuzil, Colete, Lança-granadas",49,349,64,59,0,0,Legítimo
192.168.249.16,"Capacete, Espingarda, Drone, GranadaFrag",49,90,31,90,0,0,Suspeito
192.168.213.215,"Colete, Metralhadora, Faca, GranadaFrag",65,285,143,47,0,1,Legítimo
192.168.214.115,"Drone, MedKit, GranadaFumo, Torreta",86,270,101,86,0,0,Suspeito
192.168.52.184,"GranadaInc, Submetralhadora, Capacete, Colete",79,294,20,83,0,0,Legítimo
192.168.47.98,"Pistola, Fuzil, MedKit, Revólver",76,224,84,2,0,0,Legítimo
192.168.146.114,"Silenciador, Fuzil, Drone, GranadaFumo",50,305,128,43,0,1,Legítimo
192.168.84.189,"GranadaInc, Sniper, Explosivo, Metralhadora",49,110,53,70,0,1,Legítimo
192.168.81.145,"Capacete, Pistola, Fuzil, MedKit",50,223,101,11,0,1,Legítimo
192.168.194.21,"Revólver, Fuzil, Submetralhadora, MedKit",67,149,58,57,0,1,Legítimo
192.168.185.254,"Drone, Submetralhadora, Faca, Espingarda",63,253,49,31,0,0,Legítimo
192.168.4.34,"Metralhadora, Revólver, Faca, GranadaFrag",43,196,90,40,0,0,Legítimo
192.168.49.66,"Explosivo, Espingarda, Sniper, Colete",92,358,84,71,0,1,Suspeito
192.168.46.83,"Fuzil, MedKit, Capacete, GranadaFrag",66,384,83,16,0,0,Legítimo
192.168.60.197,"Capacete, Lança-granadas, Mira, Revólver",50,242,73,37,0,1,Legítimo
192.168.201.203,"Capacete, Mira, GranadaInc, Submetralhadora",43,55,40,52,0,0,Legítimo
192.168.225.54,"Sniper, Capacete, Pistola, Torreta",52,185,28,52,0,1,Suspeito
192.168.220.55,"Metralhadora, GranadaInc, Espingarda, Explosivo",96,82,59,69,0,0,Legítimo
192.168.74.175,"GranadaFumo, Submetralhadora, Metralhadora, Lança-granadas",45,204,85,34,0,0,Legítimo
192.168.127.146,"Metralhadora, Explosivo, Capacete, GranadaFumo",69,348,55,36,0,1,Legítimo
192.168.239.214,"Faca, Espingarda, Submetralhadora, Pistola",43,145,95,58,0,1,Legítimo
192.168.80.223,"Capacete, MedKit, Faca, Explosivo",90,157,118,40,0,0,Suspeito
192.168.203.154,"GranadaFrag, Espingarda, Lança-granadas, Fuzil",92,141,78,61,0,1,Suspeito
192.168.66.91,"Pistola, Metralhadora, Espingarda, Mira",48,123,100,86,0,0,Legítimo
192.168.112.23,"Fuzil, Capacete, Explosivo, Colete",82,254,102,65,0,1,Suspeito
192.168.106.175,"GranadaFrag, Mira, Fuzil, Torreta",79,294,149,41,0,1,Legítimo
192.168.87.240,"Submetralhadora, Lança-granadas, Silenciador, Colete",95,246,45,35,0,1,Legítimo
192.168.156.33,"Fuzil, Explosivo, Submetralhadora, Silenciador",99,381,140,74,0,1,Suspeito
192.168.30.199,"Mira, Lança-granadas, Capacete, GranadaFrag",53,194,146,96,0,0,Suspeito
192.168.225.240,"Faca, Fuzil, GranadaFrag, Silenciador",73,194,85,100,1,0,Suspeito
192.168.88.182,"Faca, Metralhadora, Explosivo, Colete",95,145,129,65,1,0,Suspeito
192.168.105.2,"MedKit, Revólver, Drone, Pistola",75,283,133,72,0,1,Suspeito
192.168.47.53,"Mira, Silenciador, Explosivo, Revólver",63,363,127,52,0,0,Legítimo
192.168.201.89,"Submetralhadora, Colete, Sniper, Explosivo",99,218,139,56,0,1,Suspeito
192.168.221.61,"Espingarda, Metralhadora, Drone, Explosivo",97,230,68,20,0,1,Legítimo
192.168.226.31,"Colete, Silenciador, Metralhadora, Revólver",40,326,122,26,0,0,Legítimo
192.168.70.101,"GranadaInc, Mira, Sniper, Silenciador",83,334,140,17,0,1,Suspeito
192.168.158.51,"Capacete, Silenciador, Sniper, Faca",52,137,70,67,0,0,Legítimo
192.168.28.170,"Silenciador, Faca, MedKit, Submetralhadora",72,382,120,73,0,0,Legítimo
192.168.213.119,"Fuzil, GranadaInc, Explosivo, Colete",46,254,127,40,1,0,Legítimo
192.168.31.226,"MedKit, Explosivo, Mira, Capacete",57,195,120,93,0,1,Suspeito
192.168.62.16,"Revólver, Sniper, MedKit, Pistola",79,397,84,36,0,0,Legítimo
192.168.103.94,"Colete, Silenciador, Pistola, Mira",91,167,94,24,0,1,Suspeito
192.168.89.37,"Espingarda, GranadaFumo, Capacete, Colete",55,306,145,25,0,0,Legítimo
192.168.247.16,"Submetralhadora, GranadaFumo, Faca, Explosivo",55,289,25,74,0,1,Suspeito
192.168.172.255,"Explosivo, GranadaFrag, MedKit, Torreta",83,335,85,32,0,0,Legítimo
192.168.226.161,"Pistola, Mira, GranadaInc, Faca",99,100,85,90,0,1,Suspeito
192.168.159.40,"Pistola, GranadaFumo, Sniper, Faca",82,341,95,100,0,1,Suspeito
192.168.115.155,"Silenciador, Mira, Espingarda, Explosivo",68,177,98,0,0,1,Legítimo
192.168.16.53,"Lança-granadas, MedKit, Sniper, Pistola",78,344,46,64,0,1,Legítimo
192.168.229.63,"Pistola, Explosivo, MedKit, Silenciador",79,383,25,71,0,0,Legítimo
192.168.109.204,"Revólver, GranadaFumo, Drone, Submetralhadora",43,283,94,1,0,1,Legítimo
192.168.161.14,"Torreta, GranadaInc, Revólver, GranadaFrag",87,55,73,35,0,0,Legítimo
192.168.113.69,"GranadaFrag, Lança-granadas, Espingarda, Metralhadora",64,57,143,93,1,1,Suspeito
192.168.187.77,"GranadaFumo, Torreta, Mira, Capacete",50,197,145,58,0,1,Suspeito
192.168.216.96,"Revólver, GranadaInc, MedKit, GranadaFumo",48,295,85,77,0,1,Legítimo
192.168.9.187,"GranadaFumo, Silenciador, Explosivo, Pistola",67,373,51,52,0,1,Legítimo
192.168.65.85,"MedKit, Drone, Submetralhadora, Lança-granadas",42,169,93,29,0,1,Legítimo
192.168.4.23,"GranadaFrag, Torreta, Explosivo, MedKit",83,119,33,65,0,1,Suspeito
192.168.215.175,"Pistola, Submetralhadora, Mira, Silenciador",58,258,37,27,0,1,Legítimo
192.168.8.166,"Fuzil, Colete, Silenciador, GranadaFumo",48,218,116,53,0,1,Legítimo
192.168.150.26,"Colete, Lança-granadas, Silenciador, Capacete",99,298,59,68,0,1,Legítimo
192.168.133.136,"Mira, MedKit, Sniper, Lança-granadas",82,277,30,22,0,1,Suspeito
192.168.57.154,"Silenciador, Capacete, Sniper, MedKit",52,110,69,42,0,1,Legítimo
192.168.66.174,"Torreta, Metralhadora, Explosivo, GranadaInc",81,192,59,0,0,0,Legítimo
192.168.254.144,"Fuzil, Faca, Capacete, Sniper",82,199,150,22,0,1,Suspeito
192.168.252.249,"GranadaFrag, Silenciador, MedKit, GranadaFumo",52,302,131,35,0,0,Legítimo
192.168.244.83,"Faca, Fuzil, GranadaFrag, Lança-granadas",43,77,50,79,0,0,Legítimo
192.168.169.67,"Torreta, MedKit, Espingarda, GranadaFrag",40,86,108,16,0,0,Legítimo
192.168.209.61,"Sniper, Colete, Revólver, Submetralhadora",87,345,93,30,0,0,Legítimo
192.168.235.232,"Sniper, Metralhadora, GranadaFrag, Torreta",90,205,39,53,0,0,Legítimo
192.168.152.79,"GranadaInc, Capacete, Lança-granadas, Espingarda",68,56,147,30,0,1,Suspeito
192.168.160.131,"GranadaInc, Colete, GranadaFumo, Drone",63,169,60,20,0,1,Legítimo
192.168.78.179,"GranadaInc, Fuzil, Explosivo, Drone",43,368,58,66,0,0,Legítimo
192.168.132.140,"Capacete, Sniper, Submetralhadora, Lança-granadas",65,190,66,96,0,0,Legítimo
192.168.85.182,"MedKit, Mira, GranadaInc, Drone",40,53,70,27,0,0,Legítimo
192.168.56.19,"Espingarda, Metralhadora, MedKit, Mira",44,144,146,21,0,1,Suspeito
192.168.179.112,"Sniper, GranadaFrag, Capacete, Revólver",95,70,45,71,0,0,Suspeito
192.168.179.83,"Mira, Espingarda, Lança-granadas, GranadaInc",51,169,95,90,0,1,Suspeito
192.168.147.170,"Mira, Lança-granadas, Silenciador, Colete",63,326,24,89,0,1,Suspeito
192.168.221.46,"GranadaFumo, Revólver, GranadaInc, Torreta",66,385,124,6,0,0,Legítimo
192.168.84.114,"Espingarda, Explosivo, Colete, GranadaFrag",78,344,33,5,0,0,Legítimo
192.168.51.104,"Silenciador, Torreta, MedKit, GranadaInc",60,279,86,70,1,1,Legítimo
192.168.239.203,"GranadaFumo, Pistola, Submetralhadora, Fuzil",80,66,129,68,0,0,Legítimo
192.168.195.199,"Colete, MedKit, Revólver, Submetralhadora",51,331,85,29,1,0,Legítimo
192.168.110.250,"Pistola, Colete, Drone, Lança-granadas",67,334,123,59,0,0,Legítimo
192.168.14.88,"Explosivo, GranadaFrag, Faca, GranadaInc",48,396,130,7,0,0,Legítimo
192.168.95.198,"Metralhadora, Pistola, Fuzil, Faca",43,257,69,24,0,1,Legítimo
192.168.213.125,"Submetralhadora, Metralhadora, MedKit, GranadaInc",77,108,22,78,0,0,Suspeito
192.168.159.48,"Revólver, Lança-granadas, Mira, Pistola",89,363,66,81,0,1,Suspeito
192.168.187.175,"Colete, GranadaFrag, Explosivo, MedKit",70,222,100,17,0,0,Legítimo
192.168.197.129,"Explosivo, Capacete, GranadaFrag, Revólver",63,177,145,85,0,1,Suspeito
192.168.117.13,"Torreta, GranadaFrag, Espingarda, Submetralhadora",68,281,21,23,0,0,Legítimo
192.168.167.209,"Fuzil, Espingarda, Lança-granadas, GranadaFrag",43,400,76,57,1,0,Legítimo
192.168.252.223,"Submetralhadora, Explosivo, Pistola, Silenciador",91,272,123,47,0,0,Legítimo
192.168.48.230,"Drone, Sniper, Submetralhadora, GranadaFumo",87,109,145,60,0,1,Suspeito
192.168.118.201,"Metralhadora, Pistola, GranadaInc, Explosivo",83,143,98,18,0,0,Legítimo
192.168.23.3,"Torreta, Pistola, GranadaFumo, Sniper",68,172,55,8,0,0,Legítimo
192.168.47.82,"Revólver, Faca, Capacete, Silenciador",58,56,40,76,0,0,Legítimo
192.168.58.51,"Pistola, GranadaFumo, Revólver, Metralhadora",67,397,121,45,0,0,Legítimo
192.168.60.132,"Metralhadora, Submetralhadora, Explosivo, Espingarda",58,382,108,53,0,1,Legítimo
192.168.76.213,"Colete, Metralhadora, Mira, GranadaFrag",58,202,76,90,0,1,Legítimo
192.168.64.76,"Revólver, Sniper, Faca, GranadaInc",46,60,44,55,0,1,Legítimo
192.168.100.35,"Drone, Torreta, Capacete, Submetralhadora",73,331,24,67,1,0,Legítimo
192.168.48.20,"GranadaInc, Sniper, Torreta, MedKit",80,219,94,45,0,1,Legítimo
192.168.41.60,"Sniper, Fuzil, Drone, Espingarda",49,319,65,37,0,0,Legítimo
192.168.100.125,"Colete, Explosivo, MedKit, GranadaInc",59,345,57,76,0,0,Legítimo
192.168.66.125,"Silenciador, GranadaFumo, Colete, Submetralhadora",41,291,32,93,0,0,Legítimo
192.168.76.65,"GranadaFumo, Submetralhadora, Explosivo, Sniper",72,230,145,52,0,0,Legítimo
192.168.56.193,"Submetralhadora, Torreta, Pistola, Espingarda",71,190,116,86,0,0,Suspeito
192.168.146.164,"Drone, Revólver, Faca, Espingarda",64,129,83,9,0,1,Legítimo
192.168.219.8,"Pistola, Drone, Torreta, MedKit",52,189,131,59,0,1,Suspeito
192.168.108.227,"Metralhadora, Espingarda, Silenciador, Capacete",66,315,58,15,0,0,Legítimo
192.168.57.247,"Mira, GranadaFumo, Sniper, Espingarda",47,118,114,36,0,1,Suspeito
192.168.103.170,"Fuzil, MedKit, Sniper, Colete",88,380,144,46,0,1,Suspeito
192.168.255.147,"Faca, Explosivo, GranadaInc, Colete",62,397,24,28,0,0,Legítimo
192.168.57.161,"Lança-granadas, Capacete, Explosivo, GranadaFrag",48,140,146,31,0,1,Suspeito
192.168.218.116,"Silenciador, Revólver, Fuzil, Sniper",57,383,44,66,0,0,Legítimo
192.168.229.189,"Submetralhadora, Drone, MedKit, GranadaFrag",51,90,32,61,0,1,Suspeito
192.168.48.48,"MedKit, Drone, Colete, Pistola",74,161,125,97,0,1,Suspeito
192.168.214.63,"GranadaInc, Fuzil, MedKit, Lança-granadas",80,174,50,14,0,1,Legítimo
192.168.22.60,"Pistola, Revólver, Submetralhadora, GranadaFrag",96,395,28,16,0,0,Legítimo
192.168.62.129,"Drone, GranadaFrag, Capacete, Lança-granadas",71,324,31,92,0,1,Suspeito
192.168.165.78,"Submetralhadora, MedKit, Lança-granadas, Revólver",81,249,64,93,0,0,Legítimo
192.168.125.209,"Drone, Metralhadora, Sniper, Explosivo",43,143,102,49,0,0,Legítimo
192.168.113.124,"Drone, Mira, GranadaInc, Explosivo",63,244,57,10,0,1,Legítimo
192.168.75.66,"Faca, GranadaInc, Pistola, Fuzil",91,391,45,58,1,1,Suspeito
192.168.191.16,"Fuzil, Revólver, Submetralhadora, Capacete",63,100,66,64,0,1,Legítimo
192.168.223.74,"Sniper, Revólver, Metralhadora, Colete",59,114,41,70,1,1,Suspeito
192.168.124.189,"Colete, Torreta, Mira, Metralhadora",98,205,142,88,0,1,Suspeito
192.168.193.179,"Faca, Drone, GranadaInc, Colete",51,155,129,66,0,0,Legítimo
192.168.32.223,"Lança-granadas, GranadaInc, Drone, Explosivo",79,204,81,51,0,1,Legítimo
192.168.210.118,"Explosivo, GranadaFumo, MedKit, Espingarda",46,67,43,76,0,1,Suspeito
192.168.112.34,"Espingarda, GranadaFumo, Torreta, Faca",85,280,59,46,0,0,Legítimo
192.168.122.83,"Drone, Revólver, GranadaInc, Silenciador",61,360,129,82,0,0,Legítimo
192.168.120.28,"Fuzil, GranadaInc, Espingarda, Faca",57,363,126,12,0,1,Legítimo
192.168.63.149,"Lança-granadas, Drone, Colete, Torreta",94,359,59,6,0,1,Legítimo
192.168.142.170,"Colete, Silenciador, Torreta, GranadaInc",40,96,45,7,0,1,Legítimo
192.168.224.134,"Submetralhadora, Capacete, GranadaFumo, Explosivo",77,156,74,53,0,0,Legítimo
192.168.210.34,"Silenciador, Faca, GranadaInc, Mira",98,305,41,19,0,0,Legítimo
192.168.123.120,"Espingarda, Fuzil, Faca, Colete",58,122,109,24,0,1,Suspeito
192.168.225.92,"GranadaFrag, Torreta, Explosivo, Pistola",95,360,74,8,0,0,Legítimo
192.168.138.72,"Metralhadora, Silenciador, Pistola, MedKit",55,233,32,42,0,1,Legítimo
192.168.6.183,"Submetralhadora, Explosivo, Sniper, Torreta",44,134,106,18,0,1,Suspeito
192.168.119.52,"Espingarda, Submetralhadora, Torreta, Pistola",51,399,28,60,0,0,Legítimo
192.168.188.137,"Colete, Explosivo, Pistola, Sniper",84,265,36,93,0,1,Suspeito
192.168.54.222,"Espingarda, Submetralhadora, GranadaInc, Sniper",68,103,51,47,0,0,Legítimo
192.168.138.126,"Metralhadora, Torreta, GranadaInc, Explosivo",75,263,103,78,1,0,Suspeito
192.168.27.79,"Revólver, Silenciador, Faca, Torreta",80,131,114,14,1,0,Suspeito
192.168.153.165,"Espingarda, Revólver, GranadaInc, Drone",77,286,75,78,0,1,Legítimo
192.168.11.19,"Colete, Pistola, Espingarda, Silenciador",81,241,71,98,0,1,Suspeito
192.168.199.101,"Mira, Faca, Lança-granadas, Colete",46,398,110,47,0,0,Legítimo
192.168.226.70,"Explosivo, Fuzil, Pistola, Colete",60,271,118,90,0,0,Legítimo
192.168.91.247,"Explosivo, Lança-granadas, GranadaInc, Capacete",100,230,131,48,0,1,Suspeito
192.168.95.212,"GranadaInc, Submetralhadora, Sniper, Colete",86,114,78,53,0,0,Legítimo
192.168.61.63,"Explosivo, Silenciador, Colete, GranadaFumo",75,60,145,74,0,0,Suspeito
192.168.87.211,"Mira, Metralhadora, Submetralhadora, Sniper",99,219,66,56,0,1,Legítimo
192.168.123.223,"Torreta, Fuzil, Drone, Revólver",47,367,40,56,0,0,Legítimo
192.168.70.68,"Pistola, Mira, Drone, Lança-granadas",76,57,26,8,0,0,Legítimo
192.168.61.55,"Fuzil, Sniper, Capacete, Torreta",45,296,62,29,0,1,Legítimo
192.168.230.9,"Pistola, Espingarda, Submetralhadora, Revólver",68,153,48,28,0,1,Legítimo
192.168.14.198,"Espingarda, Sniper, Drone, Pistola",83,368,45,50,0,1,Legítimo
192.168.98.38,"Explosivo, MedKit, Capacete, Pistola",98,327,116,31,0,0,Legítimo
192.168.154.9,"Espingarda, MedKit, Silenciador, GranadaFumo",74,361,83,68,0,1,Legítimo
192.168.59.251,"Espingarda, Silenciador, Sniper, GranadaInc",86,261,118,33,0,0,Legítimo
192.168.60.212,"Pistola, Faca, Fuzil, Explosivo",69,105,43,2,0,1,Legítimo
192.168.143.42,"Pistola, Fuzil, Colete, Submetralhadora",68,230,34,53,0,1,Legítimo
192.168.92.77,"Sniper, GranadaInc, Faca, Explosivo",50,387,118,16,0,0,Legítimo
192.168.43.204,"Espingarda, Torreta, Sniper, GranadaFrag",48,340,57,59,0,1,Legítimo
192.168.73.36,"MedKit, Fuzil, GranadaInc, Submetralhadora",56,386,114,60,0,0,Legítimo
192.168.210.97,"Metralhadora, Pistola, GranadaFrag, Sniper",85,212,76,25,0,1,Legítimo
192.168.224.181,"Revólver, Torreta, Pistola, Mira",80,58,58,68,0,0,Legítimo
192.168.161.229,"Mira, Explosivo, Silenciador, Faca",89,144,56,77,0,1,Suspeito
192.168.15.65,"Faca, Fuzil, Metralhadora, Revólver",79,188,57,62,0,0,Legítimo
192.168.148.96,"Metralhadora, Sniper, GranadaFrag, MedKit",57,172,56,17,0,0,Legítimo
192.168.168.48,"GranadaInc, Silenciador, Capacete, Metralhadora",56,255,107,2,0,0,Legítimo
192.168.216.164,"Sniper, Espingarda, Lança-granadas, MedKit",95,313,50,82,0,1,Suspeito
192.168.57.72,"MedKit, Espingarda, Torreta, GranadaInc",84,146,87,53,0,1,Suspeito
192.168.60.138,"Colete, Metralhadora, Drone, MedKit",74,139,34,79,0,1,Suspeito
192.168.30.233,"MedKit, Torreta, Mira, Colete",51,217,112,91,0,0,Legítimo
192.168.79.117,"Capacete, Torreta, Submetralhadora, Lança-granadas",55,149,49,12,1,0,Legítimo
192.168.43.110,"Mira, Lança-granadas, Sniper, Silenciador",43,220,98,94,0,0,Legítimo
192.168.133.253,"Drone, Metralhadora, Submetralhadora, MedKit",66,61,100,32,0,0,Legítimo
192.168.153.18,"Pistola, Faca, Explosivo, Fuzil",74,55,101,27,0,1,Suspeito
192.168.64.66,"GranadaInc, Torreta, MedKit, GranadaFumo",91,265,118,30,0,1,Suspeito
192.168.108.138,"Silenciador, Fuzil, Mira, Torreta",47,58,150,27,0,1,Suspeito
192.168.169.54,"Revólver, GranadaFrag, Drone, Torreta",55,381,25,32,0,0,Legítimo
192.168.141.255,"Espingarda, Capacete, Explosivo, GranadaInc",96,183,24,8,1,1,Suspeito
192.168.130.21,"Fuzil, Torreta, GranadaInc, Mira",98,227,34,18,0,1,Suspeito
192.168.87.178,"Drone, Pistola, Silenciador, Mira",47,255,129,36,0,0,Legítimo
192.168.118.121,"Submetralhadora, Revólver, Fuzil, Lança-granadas",94,228,101,29,0,1,Suspeito
192.168.183.180,"Drone, Lança-granadas, Mira, Silenciador",97,296,129,17,0,0,Legítimo
192.168.94.76,"Sniper, GranadaInc, Submetralhadora, Colete",68,262,35,82,0,1,Suspeito
192.168.137.31,"Explosivo, GranadaFumo, Drone, Torreta",70,145,93,29,0,1,Legítimo
192.168.48.240,"Revólver, MedKit, Silenciador, Espingarda",67,316,43,82,0,1,Legítimo
192.168.67.123,"Lança-granadas, GranadaFrag, Sniper, Colete",81,311,55,69,0,1,Legítimo
192.168.151.128,"Capacete, Lança-granadas, GranadaFumo, Espingarda",76,286,39,93,0,0,Legítimo
192.168.246.33,"Fuzil, Capacete, Drone, MedKit",81,290,43,98,0,0,Legítimo
192.168.71.67,"Explosivo, Revólver, Lança-granadas, Sniper",81,280,149,75,0,0,Suspeito
192.168.199.47,"GranadaInc, Revólver, Sniper, GranadaFumo",46,338,23,40,0,1,Legítimo
192.168.223.243,"Espingarda, Pistola, Submetralhadora, Fuzil",70,285,50,93,0,1,Legítimo
192.168.45.182,"Mira, Capacete, Sniper, Revólver",50,172,131,92,0,1,Suspeito
192.168.25.231,"Explosivo, GranadaInc, MedKit, Revólver",51,258,56,76,0,0,Legítimo
192.168.145.62,"Sniper, Fuzil, Explosivo, Lança-granadas",61,265,89,21,0,0,Legítimo
192.168.7.215,"Sniper, Explosivo, Fuzil, Mira",77,243,61,65,0,0,Legítimo
192.168.244.204,"GranadaFrag, Mira, Pistola, Sniper",63,67,84,38,0,0,Legítimo
192.168.193.48,"Sniper, Silenciador, Explosivo, Colete",78,302,89,5,0,0,Legítimo
192.168.201.177,"Metralhadora, Espingarda, Lança-granadas, Torreta",51,175,29,60,0,1,Suspeito
192.168.90.184,"Torreta, Sniper, Espingarda, Metralhadora",82,301,84,13,0,0,Legítimo
192.168.21.166,"Sniper, Espingarda, Submetralhadora, MedKit",43,179,120,6,0,0,Legítimo
192.168.152.197,"GranadaFumo, Silenciador, Mira, Espingarda",97,161,94,36,0,0,Legítimo
192.168.200.11,"Mira, Capacete, Lança-granadas, Drone",80,222,34,27,0,0,Legítimo
192.168.28.121,"Torreta, GranadaFrag, Mira, Capacete",86,102,51,96,0,1,Suspeito
192.168.113.37,"Colete, Sniper, Lança-granadas, Mira",42,70,55,23,0,1,Legítimo
192.168.196.145,"Fuzil, Explosivo, MedKit, GranadaInc",80,332,30,75,0,1,Suspeito
192.168.38.203,"Torreta, Colete, Metralhadora, Capacete",53,236,67,30,0,1,Legítimo
192.168.14.23,"Torreta, MedKit, Mira, Pistola",93,148,90,7,0,1,Suspeito
192.168.39.111,"Faca, Pistola, Lança-granadas, Colete",95,223,121,54,0,0,Legítimo
192.168.54.37,"Colete, GranadaInc, Capacete, Submetralhadora",97,260,134,83,0,0,Suspeito
192.168.226.84,"GranadaFumo, Torreta, GranadaFrag, Revólver",52,258,41,86,0,0,Legítimo
192.168.89.16,"MedKit, Sniper, Revólver, Submetralhadora",47,191,64,20,0,1,Legítimo
192.168.192.99,"Lança-granadas, Submetralhadora, Pistola, Capacete",66,343,28,29,0,0,Legítimo
192.168.28.82,"Lança-granadas, GranadaInc, Torreta, Pistola",94,236,90,6,0,0,Legítimo
192.168.190.114,"Colete, Drone, Capacete, Sniper",62,275,73,87,0,1,Legítimo
192.168.7.72,"Espingarda, Submetralhadora, Metralhadora, Capacete",95,398,119,93,0,0,Suspeito
192.168.85.104,"Revólver, Explosivo, Lança-granadas, GranadaFumo",53,79,115,6,0,0,Legítimo
192.168.62.116,"Sniper, Torreta, Drone, Metralhadora",76,318,63,97,0,0,Legítimo
192.168.90.36,"Mira, Colete, GranadaFrag, Espingarda",84,256,110,17,0,1,Suspeito
192.168.53.54,"Pistola, Explosivo, Silenciador, Lança-granadas",99,334,73,57,0,1,Legítimo
192.168.166.199,"Explosivo, Colete, Fuzil, Lança-granadas",100,55,40,30,0,1,Suspeito
192.168.28.159,"Submetralhadora, Lança-granadas, Drone, Sniper",98,299,124,18,0,0,Legítimo
192.168.212.34,"Drone, GranadaInc, Faca, Pistola",94,146,122,81,0,1,Suspeito
192.168.188.108,"Pistola, Drone, Torreta, Revólver",50,351,113,70,0,1,Legítimo
192.168.79.253,"Revólver, MedKit, Lança-granadas, Faca",79,252,112,52,1,0,Legítimo
192.168.30.17,"Capacete, Lança-granadas, Pistola, Fuzil",44,68,88,3,0,0,Legítimo
192.168.127.54,"Lança-granadas, Torreta, Submetralhadora, Capacete",69,170,147,58,0,0,Legítimo
192.168.40.231,"Torreta, Drone, Espingarda, Sniper",45,105,100,62,0,1,Legítimo
192.168.98.142,"Drone, MedKit, Submetralhadora, GranadaFumo",86,378,121,48,0,1,Suspeito
192.168.92.23,"GranadaInc, MedKit, Fuzil, Silenciador",83,332,144,70,0,0,Legítimo
192.168.233.150,"Submetralhadora, Fuzil, Faca, Capacete",82,92,87,28,0,1,Suspeito
192.168.157.240,"GranadaFumo, Explosivo, Faca, Sniper",88,172,47,74,0,0,Suspeito
