IP,Inventario,Acuracia,TempoReacao,APM,TaxaHeadshots,JaFoiSuspeito,IPRepetido,SusInv,Classe
192.168.50.219,"GranadaInc, MedKit, Colete, Mira",54,170,84,91,0,0,0,Legítimo
192.168.236.105,"Metralhadora, Sniper, GranadaFumo, GranadaInc",43,88,115,4,0,0,0,Legítimo
192.168.151.163,"GranadaFumo, Metralhadora, Pistola, Espingarda",57,373,45,3,0,0,0,Legítimo
192.168.31.165,"Capacete, Lança-granadas, Colete, Espingarda",80,335,81,71,0,0,0,Legítimo
192.168.42.34,"MedKit, Revólver, Torreta, Silenciador",63,240,144,56,0,0,0,Legítimo
192.168.178.128,"Drone, Sniper, Faca, Fuzil",57,230,99,98,0,0,0,Legítimo
192.168.154.32,"Revólver, Capacete, Silenciador, Metralhadora",41,384,67,11,0,0,0,Legítimo
192.168.170.250,"Drone, MedKit, Capacete, GranadaInc",76,326,37,70,0,0,0,Legítimo
192.168.11.34,"Fuzil, Metralhadora, Colete, GranadaFrag",96,349,67,35,0,0,0,Legítimo
192.168.67.169,"Metralhadora, Mira, Colete, Fuzil",89,107,128,57,0,0,0,Suspeito
192.168.69.48,"Drone, Faca, GranadaInc, Colete",80,297,65,72,0,0,0,Legítimo
192.168.162.214,"Drone, Espingarda, Sniper, Metralhadora",99,324,137,25,0,0,0,Legítimo
192.168.26.6,"Sniper, Espingarda, Torreta, Lança-granadas",44,231,44,84,0,0,0,Legítimo
192.168.151.93,"Capacete, Pistola, Mira, MedKit",60,180,81,4,0,0,0,Legítimo
192.168.66.231,"Silenciador, Torreta, Drone, Pistola",73,57,57,76,0,0,0,Legítimo
192.168.193.200,"Espingarda, Fuzil, Silenciador, Capacete",54,186,145,65,0,0,0,Legítimo
192.168.83.76,"Revólver, Fuzil, Metralhadora, Submetralhadora",69,164,49,6,0,0,0,Legítimo
192.168.67.112,"Faca, Explosivo, Submetralhadora, Silenciador",68,335,73,15,0,0,1,Legítimo
192.168.222.89,"Metralhadora, Faca, Lança-granadas, Pistola",68,114,84,14,0,0,0,Legítimo
192.168.213.75,"Silenciador, Pistola, Faca, Lança-granadas",66,69,149,81,0,0,0,Suspeito
192.168.157.24,"Pistola, GranadaInc, GranadaFumo, Colete",70,134,96,15,0,0,0,Legítimo
192.168.124.26,"MedKit, Drone, Faca, Capacete",41,114,140,58,0,0,0,Legítimo
192.168.179.1,"Submetralhadora, MedKit, GranadaInc, Capacete",54,76,25,79,0,0,0,Suspeito
192.168.203.13,"Mira, Faca, Lança-granadas, Submetralhadora",69,135,32,53,0,0,0,Legítimo
192.168.76.97,"GranadaInc, Fuzil, Faca, GranadaFrag",73,69,35,81,0,0,0,Suspeito
192.168.146.3,"Submetralhadora, Explosivo, Sniper, Drone",84,147,67,14,0,0,0,Legítimo
192.168.29.77,"Lança-granadas, Capacete, Revólver, Submetralhadora",81,110,111,22,0,0,0,Suspeito
192.168.171.206,"Faca, MedKit, GranadaInc, GranadaFumo",89,223,148,8,0,0,0,Legítimo
192.168.104.30,"Faca, Submetralhadora, GranadaFumo, Drone",89,108,120,69,0,0,1,Suspeito
192.168.133.46,"Metralhadora, Drone, Explosivo, GranadaInc",56,143,92,100,1,0,0,Suspeito
192.168.113.93,"Pistola, Revólver, Fuzil, Lança-granadas",45,394,71,75,0,0,0,Legítimo
192.168.119.12,"Torreta, Submetralhadora, Revólver, Mira",71,200,132,35,1,0,0,Legítimo
192.168.22.227,"Espingarda, Revólver, Silenciador, Mira",67,249,59,39,0,0,0,Legítimo
192.168.221.148,"Espingarda, Drone, Fuzil, Submetralhadora",85,389,88,29,0,0,0,Legítimo
192.168.71.198,"GranadaInc, Espingarda, Revólver, Pistola",62,236,101,62,1,0,0,Legítimo
192.168.7.213,"Lança-granadas, Fuzil, Revólver, GranadaFumo",81,362,121,67,0,0,0,Legítimo
192.168.222.214,"MedKit, Silenciador, Torreta, Drone",43,91,150,67,0,0,0,Legítimo
192.168.61.62,"MedKit, Espingarda, Revólver, GranadaInc",45,148,22,45,0,0,0,Legítimo
192.168.122.188,"Torreta, Submetralhadora, Espingarda, GranadaFumo",48,106,83,47,0,0,0,Legítimo
192.168.171.191,"Revólver, Torreta, Fuzil, Silenciador",100,363,143,96,0,0,0,Suspeito
192.168.242.177,"Torreta, MedKit, Drone, Silenciador",92,181,123,16,0,0,0,Suspeito
192.168.96.202,"Lança-granadas, Metralhadora, Colete, GranadaFumo",96,76,132,22,0,0,0,Suspeito
192.168.107.81,"Mira, Submetralhadora, GranadaInc, Explosivo",41,306,116,10,0,0,0,Legítimo
192.168.35.158,"Revólver, Sniper, GranadaFumo, Faca",70,60,112,34,0,0,0,Legítimo
192.168.90.134,"Silenciador, GranadaInc, Pistola, GranadaFumo",92,365,37,43,0,0,0,Legítimo
192.168.158.29,"Espingarda, Torreta, Explosivo, Faca",70,384,77,73,0,0,0,Legítimo
192.168.134.251,"Sniper, GranadaInc, Submetralhadora, Mira",67,211,25,56,0,0,0,Legítimo
192.168.135.87,"Colete, Faca, Sniper, Silenciador",54,129,62,41,0,0,1,Legítimo
192.168.97.150,"Submetralhadora, Sniper, Capacete, Drone",93,264,131,16,0,0,0,Legítimo
192.168.92.80,"Torreta, Mira, Revólver, Metralhadora",41,247,127,64,0,0,0,Legítimo
192.168.93.65,"Explosivo, Torreta, Lança-granadas, Colete",41,376,47,4,0,0,0,Legítimo
192.168.37.242,"GranadaFumo, Explosivo, Capacete, Revólver",78,300,126,70,0,0,0,Legítimo
192.168.131.24,"Revólver, GranadaFrag, Mira, Explosivo",49,235,107,59,0,0,0,Legítimo
192.168.224.124,"Mira, Lança-granadas, Espingarda, MedKit",46,392,81,19,0,0,0,Legítimo
192.168.102.59,"Revólver, MedKit, Sniper, GranadaFumo",99,312,143,3,0,0,0,Legítimo
192.168.66.189,"GranadaFrag, MedKit, Submetralhadora, Metralhadora",73,270,99,4,0,0,0,Legítimo
192.168.115.253,"Lança-granadas, Revólver, Submetralhadora, GranadaFrag",43,364,102,29,0,0,0,Legítimo
192.168.214.252,"Pistola, Torreta, Espingarda, Submetralhadora",52,218,127,26,0,0,0,Legítimo
192.168.79.94,"Drone, Metralhadora, GranadaFrag, Revólver",54,62,128,43,0,0,0,Legítimo
192.168.143.113,"Revólver, Espingarda, Drone, GranadaFumo",77,378,137,50,0,0,0,Legítimo
192.168.21.94,"Explosivo, MedKit, Sniper, Pistola",85,211,143,65,0,0,0,Legítimo
192.168.12.192,"GranadaFrag, Espingarda, GranadaFumo, Sniper",41,326,139,26,0,0,0,Legítimo
192.168.70.120,"Revólver, Metralhadora, MedKit, Fuzil",84,105,122,74,0,0,0,Suspeito
192.168.137.159,"Espingarda, Submetralhadora, Fuzil, Metralhadora",100,283,34,73,0,0,0,Suspeito
192.168.94.139,"Drone, Lança-granadas, Colete, Faca",93,91,77,42,0,0,0,Legítimo
192.168.245.195,"Espingarda, Faca, Lança-granadas, Explosivo",53,108,72,6,0,0,0,Legítimo
192.168.60.4,"Mira, Fuzil, Capacete, Torreta",87,271,83,28,0,0,0,Legítimo
192.168.163.57,"Capacete, Silenciador, Mira, Faca",98,143,49,74,0,0,0,Suspeito
192.168.59.4,"Capacete, Faca, Pistola, Fuzil",74,116,22,76,0,0,0,Suspeito
192.168.179.227,"MedKit, Metralhadora, GranadaFrag, GranadaInc",96,315,108,33,0,0,0,Legítimo
192.168.232.93,"Drone, Mira, GranadaFrag, Explosivo",61,69,68,40,0,0,0,Legítimo
192.168.12.248,"Submetralhadora, GranadaInc, Capacete, Colete",60,350,130,15,0,0,0,Legítimo
192.168.247.77,"Submetralhadora, GranadaFumo, GranadaFrag, Mira",87,340,140,76,0,0,0,Suspeito
192.168.183.89,"Fuzil, GranadaFumo, Colete, Faca",76,261,72,5,0,0,0,Legítimo
192.168.181.108,"Submetralhadora, Espingarda, Faca, GranadaFumo",45,289,150,40,0,0,1,Legítimo
192.168.3.104,"Revólver, Colete, GranadaInc, Faca",67,199,66,48,0,0,0,Legítimo
192.168.238.135,"Lança-granadas, Explosivo, Silenciador, GranadaInc",59,170,67,93,0,0,0,Legítimo
192.168.199.88,"Submetralhadora, Drone, GranadaFumo, MedKit",81,182,98,95,0,0,0,Suspeito
192.168.70.87,"Pistola, Colete, Sniper, Revólver",84,331,77,10,0,0,0,Legítimo
192.168.100.189,"GranadaInc, Pistola, MedKit, Torreta",45,316,54,64,0,0,0,Legítimo
192.168.44.112,"Silenciador, Lança-granadas, Revólver, Sniper",56,116,93,80,0,0,0,Legítimo
192.168.227.168,"GranadaFumo, Metralhadora, Submetralhadora, GranadaInc",83,143,68,4,1,0,0,Suspeito
192.168.52.64,"Drone, Torreta, GranadaFrag, Sniper",82,321,120,25,0,0,0,Legítimo
192.168.111.215,"Revólver, Mira, GranadaFumo, Capacete",73,50,121,20,0,0,0,Legítimo
192.168.96.185,"GranadaFrag, Espingarda, Colete, Faca",75,270,148,82,0,0,0,Legítimo
192.168.111.27,"Colete, Submetralhadora, Fuzil, GranadaFumo",75,304,87,16,0,0,0,Legítimo
192.168.93.213,"MedKit, Faca, GranadaInc, Silenciador",51,176,124,44,0,0,0,Legítimo
192.168.241.166,"Mira, Fuzil, Pistola, Revólver",43,301,83,49,0,0,0,Legítimo
192.168.127.249,"Torreta, Explosivo, Submetralhadora, MedKit",77,182,56,66,0,0,0,Legítimo
192.168.99.192,"Mira, Colete, MedKit, GranadaFumo",63,311,150,56,0,1,0,Legítimo
192.168.237.232,"GranadaFumo, Sniper, Faca, Submetralhadora",59,66,145,12,0,0,1,Suspeito
192.168.203.44,"Silenciador, GranadaFumo, Pistola, Fuzil",79,113,62,42,1,0,0,Legítimo
192.168.124.142,"Sniper, Fuzil, Submetralhadora, Explosivo",99,291,31,78,0,0,0,Suspeito
192.168.191.167,"Torreta, Silenciador, Revólver, GranadaInc",80,136,122,39,0,0,0,Legítimo
192.168.134.6,"Lança-granadas, GranadaInc, Fuzil, Explosivo",62,326,70,98,0,0,0,Legítimo
192.168.93.144,"Espingarda, GranadaInc, Lança-granadas, Metralhadora",66,143,71,34,0,0,0,Legítimo
192.168.19.14,"Submetralhadora, Pistola, Drone, GranadaFumo",52,187,84,95,0,0,0,Legítimo
192.168.243.73,"Silenciador, GranadaInc, Lança-granadas, Metralhadora",86,173,107,29,0,0,0,Suspeito
192.168.218.222,"GranadaInc, Metralhadora, Silenciador, Lança-granadas",98,222,97,33,0,0,0,Legítimo
192.168.51.147,"Sniper, Lança-granadas, Silenciador, Pistola",41,97,150,78,0,0,0,Suspeito
192.168.166.214,"Torreta, Revólver, Espingarda, Fuzil",78,156,98,73,0,0,0,Legítimo
192.168.77.188,"Capacete, Silenciador, Torreta, Mira",98,201,63,80,1,0,0,Suspeito
192.168.43.72,"Lança-granadas, Torreta, GranadaInc, Revólver",55,111,120,33,0,0,0,Legítimo
192.168.182.177,"Explosivo, Faca, Submetralhadora, Espingarda",50,60,42,36,1,1,0,Suspeito
192.168.177.56,"Mira, Lança-granadas, Pistola, Drone",64,52,100,54,1,0,0,Legítimo
192.168.1.2,"Submetralhadora, Pistola, Explosivo, Silenciador",40,298,150,54,0,0,0,Legítimo
192.168.90.217,"Revólver, Pistola, MedKit, Silenciador",77,348,148,83,0,0,0,Legítimo
192.168.17.154,"Lança-granadas, Colete, Silenciador, Faca",88,382,38,23,0,0,0,Legítimo
192.168.24.84,"Fuzil, Explosivo, MedKit, Colete",92,169,109,63,0,0,0,Suspeito
192.168.35.245,"GranadaFumo, Colete, Silenciador, Mira",80,235,35,40,0,1,1,Suspeito
192.168.92.88,"GranadaFrag, Fuzil, GranadaFumo, Lança-granadas",56,50,103,91,0,1,0,Suspeito
192.168.37.87,"Submetralhadora, GranadaFumo, Drone, MedKit",99,160,137,92,0,0,0,Suspeito
192.168.210.148,"Colete, Silenciador, Fuzil, Mira",97,345,118,66,0,0,1,Suspeito
192.168.134.91,"Sniper, Colete, Metralhadora, GranadaInc",64,172,98,75,0,0,0,Legítimo
192.168.124.151,"Torreta, Metralhadora, Revólver, Submetralhadora",41,338,45,71,0,0,0,Legítimo
192.168.156.20,"Metralhadora, Fuzil, Mira, Faca",60,83,31,70,0,0,0,Legítimo
192.168.102.97,"Metralhadora, Explosivo, Capacete, Torreta",53,321,106,43,0,0,0,Legítimo
192.168.209.230,"GranadaInc, Faca, Sniper, Drone",49,344,92,3,0,0,0,Legítimo
192.168.166.246,"Torreta, Espingarda, Sniper, Explosivo",40,398,127,64,0,0,0,Legítimo
192.168.220.167,"MedKit, GranadaFumo, Sniper, Torreta",51,334,116,38,0,0,0,Legítimo
192.168.216.130,"Faca, Sniper, Mira, MedKit",54,235,126,50,0,0,0,Legítimo
192.168.248.248,"Drone, Fuzil, Explosivo, Lança-granadas",72,152,147,67,0,0,0,Legítimo
192.168.207.234,"MedKit, Revólver, Explosivo, Capacete",65,367,118,53,0,0,0,Legítimo
192.168.255.238,"Pistola, Mira, Silenciador, Capacete",90,182,65,60,0,0,0,Legítimo
192.168.119.106,"Capacete, GranadaFumo, Lança-granadas, GranadaInc",75,196,92,73,0,0,0,Legítimo
192.168.195.159,"Revólver, Espingarda, Sniper, GranadaFumo",52,105,62,19,0,0,0,Legítimo
192.168.220.49,"GranadaFumo, Colete, Torreta, Revólver",55,164,127,94,0,0,0,Suspeito
192.168.7.236,"Colete, Sniper, GranadaInc, Fuzil",62,59,85,19,0,0,0,Legítimo
192.168.5.204,"Fuzil, Metralhadora, Colete, Drone",93,73,120,80,0,0,0,Suspeito
192.168.189.83,"Sniper, MedKit, Mira, Torreta",81,88,103,26,0,0,0,Suspeito
192.168.149.197,"MedKit, Capacete, Espingarda, Silenciador",60,389,91,78,0,0,0,Legítimo
192.168.8.108,"MedKit, Capacete, Silenciador, Metralhadora",76,128,79,71,0,0,0,Legítimo
192.168.108.15,"Submetralhadora, GranadaInc, GranadaFrag, Metralhadora",50,314,70,70,0,0,0,Legítimo
192.168.62.38,"MedKit, Mira, Capacete, Explosivo",48,69,114,82,0,0,0,Suspeito
192.168.143.38,"Explosivo, Metralhadora, Silenciador, Lança-granadas",100,307,91,99,0,0,0,Legítimo
192.168.21.86,"Lança-granadas, GranadaFumo, Sniper, Revólver",95,352,145,38,0,0,0,Legítimo
192.168.131.127,"Colete, Fuzil, Capacete, Drone",80,199,97,30,0,0,0,Legítimo
192.168.52.17,"Metralhadora, Submetralhadora, GranadaInc, Torreta",47,191,38,56,0,0,0,Legítimo
192.168.247.183,"Colete, Revólver, Mira, Faca",42,291,50,31,0,0,0,Legítimo
192.168.66.178,"Pistola, GranadaFrag, Explosivo, Torreta",50,58,46,59,0,0,0,Legítimo
192.168.237.134,"Metralhadora, Colete, Sniper, Submetralhadora",89,265,110,11,0,0,0,Legítimo
192.168.132.35,"Colete, Drone, Revólver, GranadaFumo",84,200,143,73,0,0,0,Suspeito
192.168.218.194,"Colete, Fuzil, Mira, Explosivo",67,150,68,13,0,0,0,Legítimo
192.168.69.225,"Lança-granadas, Faca, Torreta, Submetralhadora",73,256,68,60,0,0,0,Legítimo
192.168.29.136,"Capacete, Drone, GranadaInc, Lança-granadas",92,360,73,98,0,0,0,Legítimo
192.168.239.56,"Pistola, Espingarda, Silenciador, Explosivo",59,214,132,71,0,0,0,Legítimo
192.168.78.49,"Sniper, Pistola, GranadaFumo, GranadaInc",44,62,91,0,0,0,0,Legítimo
192.168.129.23,"Metralhadora, Pistola, GranadaInc, Sniper",94,121,26,17,0,0,0,Suspeito
192.168.115.59,"GranadaFumo, Espingarda, Mira, Metralhadora",86,369,43,31,0,0,0,Legítimo
192.168.115.165,"Espingarda, Colete, Revólver, Faca",57,69,101,33,0,0,0,Legítimo
192.168.227.64,"Silenciador, Revólver, Mira, MedKit",62,168,63,55,0,0,0,Legítimo
192.168.43.47,"GranadaFumo, Capacete, Silenciador, Submetralhadora",97,75,45,71,0,0,1,Suspeito
192.168.252.208,"Faca, Colete, Revólver, GranadaFumo",43,81,122,75,0,0,0,Suspeito
192.168.112.31,"Lança-granadas, Espingarda, Torreta, Sniper",80,343,61,94,0,0,0,Legítimo
192.168.212.158,"Sniper, Capacete, Espingarda, MedKit",69,239,118,30,0,0,0,Legítimo
192.168.71.152,"Mira, Silenciador, Capacete, Metralhadora",68,81,137,33,0,0,0,Legítimo
192.168.151.246,"GranadaInc, Pistola, Metralhadora, Submetralhadora",74,333,133,85,0,0,0,Legítimo
192.168.22.224,"Lança-granadas, Faca, Espingarda, Torreta",44,163,22,63,0,0,0,Legítimo
192.168.236.4,"Drone, Revólver, Pistola, Capacete",92,125,100,75,0,0,0,Suspeito
192.168.234.44,"MedKit, Faca, Drone, GranadaFrag",65,121,124,21,0,1,0,Suspeito
192.168.5.148,"Faca, Fuzil, Submetralhadora, Capacete",76,325,114,84,0,0,0,Legítimo
192.168.234.211,"Espingarda, Capacete, GranadaInc, GranadaFrag",44,266,137,11,0,0,0,Legítimo
192.168.115.220,"Sniper, Capacete, Drone, Espingarda",74,289,93,31,0,0,1,Legítimo
192.168.64.3,"Lança-granadas, Submetralhadora, Espingarda, Explosivo",78,141,108,63,0,0,0,Legítimo
192.168.173.193,"Capacete, MedKit, Explosivo, Pistola",67,168,65,29,0,0,0,Legítimo
192.168.8.29,"Explosivo, Mira, Submetralhadora, Faca",87,126,141,34,0,0,0,Suspeito
192.168.167.15,"GranadaFrag, Fuzil, Silenciador, GranadaInc",52,308,107,6,0,0,0,Legítimo
192.168.105.114,"Fuzil, Explosivo, Revólver, Sniper",75,246,87,35,0,0,0,Legítimo
192.168.54.233,"MedKit, Metralhadora, Sniper, Fuzil",95,160,90,63,0,0,0,Legítimo
192.168.21.60,"Silenciador, Metralhadora, Colete, GranadaFumo",67,213,77,67,0,0,1,Legítimo
192.168.57.159,"Revólver, Torreta, Pistola, Explosivo",87,226,62,21,0,0,0,Legítimo
192.168.8.156,"Faca, Metralhadora, GranadaFrag, Sniper",89,321,115,20,0,0,0,Legítimo
192.168.101.196,"Lança-granadas, Drone, Submetralhadora, Colete",67,375,115,41,0,0,0,Legítimo
192.168.11.203,"GranadaFrag, Silenciador, Fuzil, Torreta",59,97,59,63,0,0,0,Legítimo
192.168.249.77,"Torreta, GranadaFumo, Silenciador, Espingarda",83,330,70,72,0,0,1,Suspeito
192.168.187.147,"Explosivo, GranadaFumo, Pistola, GranadaInc",60,65,45,34,0,0,0,Legítimo
192.168.47.204,"Espingarda, Capacete, Sniper, GranadaFrag",54,265,98,12,0,0,0,Legítimo
192.168.27.216,"Torreta, Explosivo, Metralhadora, GranadaFumo",40,330,70,58,0,0,0,Legítimo
192.168.146.163,"Silenciador, Revólver, Fuzil, Pistola",85,178,110,64,0,0,0,Suspeito
192.168.200.23,"Faca, Metralhadora, Pistola, Explosivo",60,102,96,86,0,0,0,Legítimo
192.168.136.19,"Fuzil, MedKit, Mira, Revólver",42,294,56,63,0,0,0,Legítimo
192.168.216.141,"Revólver, Colete, MedKit, Explosivo",90,153,127,76,0,1,0,Suspeito
192.168.130.46,"Explosivo, Fuzil, Drone, Revólver",86,149,74,30,0,0,0,Legítimo
192.168.162.163,"Fuzil, Explosivo, Submetralhadora, MedKit",71,53,95,53,0,0,0,Legítimo
192.168.191.36,"Lança-granadas, Pistola, Capacete, Espingarda",89,55,45,100,0,0,0,Suspeito
192.168.239.139,"Pistola, Submetralhadora, GranadaInc, GranadaFrag",61,161,81,17,0,0,0,Legítimo
192.168.32.163,"Metralhadora, Lança-granadas, Revólver, GranadaFumo",60,187,63,71,0,0,0,Legítimo
192.168.33.74,"Silenciador, Pistola, GranadaInc, MedKit",100,261,128,57,0,0,0,Legítimo
192.168.12.193,"Revólver, Drone, Pistola, Capacete",64,129,108,39,0,0,0,Legítimo
192.168.187.83,"GranadaInc, Capacete, Explosivo, Metralhadora",70,260,106,76,0,0,0,Legítimo
192.168.191.47,"GranadaInc, MedKit, Espingarda, GranadaFumo",58,153,27,87,0,0,0,Suspeito
192.168.131.12,"Mira, Sniper, GranadaFumo, Pistola",96,129,40,45,0,0,0,Legítimo
192.168.160.118,"GranadaFumo, Fuzil, GranadaInc, Silenciador",49,266,149,63,0,0,0,Legítimo
192.168.71.164,"Torreta, MedKit, Explosivo, Revólver",67,306,60,86,0,0,0,Legítimo
192.168.100.32,"Espingarda, Revólver, Submetralhadora, Colete",81,275,146,81,0,0,0,Suspeito
192.168.198.26,"Espingarda, GranadaFumo, Capacete, Metralhadora",70,289,23,99,0,0,0,Legítimo
192.168.105.84,"Pistola, Revólver, Submetralhadora, Explosivo",50,187,50,23,0,0,0,Legítimo
192.168.41.12,"Pistola, Sniper, Lança-granadas, Revólver",76,237,99,88,0,0,0,Legítimo
192.168.239.157,"Fuzil, GranadaInc, Capacete, Revólver",40,111,26,14,0,0,0,Legítimo
192.168.80.216,"Capacete, Fuzil, Metralhadora, Faca",53,358,31,82,1,0,0,Suspeito
192.168.206.199,"Revólver, Capacete, MedKit, Pistola",100,286,105,11,0,0,0,Legítimo
192.168.218.229,"Metralhadora, Faca, GranadaFumo, Torreta",75,254,136,96,0,0,0,Legítimo
192.168.95.30,"Pistola, Mira, Revólver, Capacete",95,136,117,5,0,0,0,Suspeito
192.168.132.186,"GranadaFumo, Submetralhadora, Torreta, Silenciador",40,356,130,51,0,0,1,Legítimo
192.168.224.212,"Metralhadora, Submetralhadora, GranadaFumo, Espingarda",52,241,117,51,0,0,0,Legítimo
192.168.227.95,"Revólver, GranadaFumo, Explosivo, MedKit",57,73,38,53,0,0,0,Legítimo
192.168.65.165,"GranadaFrag, Colete, Revólver, Explosivo",65,90,91,10,0,0,0,Legítimo
192.168.84.122,"Colete, Drone, Torreta, Pistola",78,281,101,14,0,0,1,Legítimo
192.168.22.230,"Lança-granadas, Drone, Submetralhadora, Espingarda",74,96,79,68,0,0,0,Legítimo
192.168.21.104,"Sniper, Torreta, Fuzil, Capacete",83,155,56,54,0,0,0,Legítimo
192.168.50.146,"Mira, Pistola, Submetralhadora, MedKit",85,328,71,50,0,0,0,Legítimo
192.168.175.129,"Pistola, Drone, Espingarda, Faca",90,63,116,53,0,0,0,Suspeito
192.168.234.81,"GranadaFumo, GranadaFrag, Capacete, Explosivo",48,213,119,93,0,0,0,Legítimo
192.168.37.96,"Lança-granadas, GranadaInc, Espingarda, Drone",71,95,92,4,0,0,0,Legítimo
192.168.6.85,"Pistola, Fuzil, Explosivo, Espingarda",96,80,94,31,0,0,0,Legítimo
192.168.188.234,"Torreta, GranadaFrag, Silenciador, MedKit",60,238,97,88,0,0,0,Legítimo
192.168.141.244,"Metralhadora, Silenciador, Drone, Sniper",86,146,55,54,1,0,0,Suspeito
192.168.66.168,"Explosivo, Silenciador, Colete, Submetralhadora",87,391,32,69,0,0,0,Legítimo
192.168.96.122,"GranadaInc, Faca, MedKit, Drone",81,189,21,70,0,0,0,Suspeito
192.168.233.229,"Fuzil, MedKit, Submetralhadora, Faca",86,204,39,32,1,0,0,Suspeito
192.168.89.152,"Metralhadora, Mira, Explosivo, MedKit",57,311,54,18,0,0,0,Legítimo
192.168.255.224,"GranadaFrag, Colete, Revólver, Submetralhadora",74,278,85,19,0,0,0,Legítimo
192.168.13.218,"Torreta, Metralhadora, GranadaFumo, GranadaInc",54,158,68,65,0,0,0,Legítimo
192.168.59.6,"GranadaFumo, GranadaFrag, Silenciador, Submetralhadora",67,90,102,63,0,1,1,Suspeito
192.168.63.40,"Espingarda, Submetralhadora, Sniper, Explosivo",71,303,59,37,0,0,0,Legítimo
192.168.53.200,"Explosivo, Sniper, Faca, Mira",53,315,104,16,0,0,0,Legítimo
192.168.87.127,"GranadaFrag, MedKit, Colete, Faca",86,134,37,12,0,0,0,Suspeito
192.168.42.128,"Faca, Explosivo, GranadaFrag, Capacete",72,297,103,36,0,0,0,Legítimo
192.168.221.53,"Capacete, Mira, GranadaInc, Fuzil",45,324,126,90,0,0,0,Legítimo
192.168.9.8,"Espingarda, Colete, Drone, Faca",65,261,44,38,0,0,0,Legítimo
192.168.247.207,"MedKit, GranadaFrag, Lança-granadas, Torreta",65,116,115,0,0,0,0,Legítimo
192.168.102.221,"Sniper, GranadaFrag, Faca, Capacete",44,321,141,55,0,0,0,Legítimo
192.168.60.244,"Pistola, Faca, Silenciador, GranadaInc",66,325,81,78,0,0,0,Legítimo
192.168.145.76,"GranadaInc, Silenciador, Colete, Mira",87,170,61,82,0,0,1,Suspeito
192.168.140.71,"Silenciador, Revólver, Fuzil, GranadaFrag",43,243,118,35,1,0,0,Legítimo
192.168.208.185,"GranadaInc, Capacete, Colete, Revólver",79,110,71,86,0,0,0,Legítimo
192.168.98.161,"GranadaInc, Submetralhadora, Capacete, Drone",85,169,27,64,0,0,0,Suspeito
192.168.43.245,"Espingarda, Faca, Silenciador, GranadaFumo",87,66,40,74,0,0,1,Suspeito
192.168.238.14,"Colete, Revólver, GranadaInc, Pistola",87,141,111,60,1,0,0,Suspeito
192.168.95.150,"Espingarda, Revólver, Colete, Submetralhadora",87,293,63,1,0,0,0,Legítimo
192.168.84.158,"Metralhadora, Fuzil, Silenciador, Pistola",42,229,94,93,0,0,0,Legítimo
192.168.64.139,"Pistola, MedKit, Explosivo, Espingarda",58,113,113,1,0,0,0,Legítimo
192.168.73.58,"GranadaFrag, Mira, Capacete, Revólver",68,64,104,95,0,0,0,Suspeito
192.168.26.3,"Explosivo, Espingarda, Fuzil, GranadaFumo",43,258,104,77,0,0,0,Legítimo
192.168.223.200,"GranadaInc, Silenciador, Sniper, GranadaFrag",81,217,72,64,0,0,0,Legítimo
192.168.205.193,"Explosivo, Fuzil, GranadaInc, Pistola",81,334,148,38,0,0,0,Legítimo
192.168.173.55,"Fuzil, GranadaFrag, Drone, Revólver",70,105,50,86,0,0,0,Legítimo
192.168.57.49,"Silenciador, Metralhadora, Fuzil, Submetralhadora",69,151,92,65,0,0,0,Legítimo
192.168.165.71,"Colete, Torreta, MedKit, GranadaFumo",98,140,57,68,0,0,0,Legítimo
192.168.102.220,"GranadaFrag, Silenciador, Metralhadora, Revólver",66,189,118,20,0,0,0,Legítimo
192.168.216.127,"Fuzil, Colete, MedKit, Revólver",41,249,119,60,0,0,0,Legítimo
192.168.129.41,"Faca, GranadaFrag, Lança-granadas, Metralhadora",54,370,39,96,0,0,0,Legítimo
192.168.236.239,"Mira, Capacete, Sniper, MedKit",96,375,91,54,0,0,0,Legítimo
192.168.7.250,"MedKit, Drone, Colete, Pistola",92,370,111,20,0,0,0,Legítimo
192.168.152.158,"GranadaFrag, Torreta, Capacete, Sniper",99,141,47,35,0,0,0,Legítimo
192.168.180.111,"Submetralhadora, Faca, Mira, Metralhadora",70,288,112,47,0,0,0,Legítimo
192.168.180.7,"Fuzil, MedKit, GranadaFrag, Explosivo",91,263,147,67,0,0,0,Legítimo
192.168.132.214,"Fuzil, Explosivo, Drone, Torreta",82,218,20,49,0,0,0,Legítimo
192.168.153.221,"GranadaInc, Capacete, MedKit, Drone",87,116,102,62,0,0,0,Suspeito
192.168.217.98,"Torreta, MedKit, GranadaFumo, Capacete",58,155,137,4,0,0,0,Legítimo
192.168.125.105,"Submetralhadora, Lança-granadas, GranadaFumo, Capacete",42,118,46,62,1,0,0,Legítimo
192.168.53.100,"Silenciador, GranadaFumo, Espingarda, Capacete",77,200,91,72,0,0,1,Legítimo
192.168.92.126,"Colete, Torreta, GranadaFumo, Silenciador",92,287,149,77,0,0,1,Suspeito
192.168.77.150,"MedKit, Drone, GranadaFumo, Espingarda",63,387,45,94,0,0,0,Legítimo
192.168.19.170,"Fuzil, Capacete, GranadaFumo, GranadaFrag",63,199,81,50,0,0,0,Legítimo
192.168.112.43,"Lança-granadas, GranadaFrag, Fuzil, Revólver",62,207,131,92,0,0,0,Legítimo
